#TYPE System.Management.Automation.PSCustomObject,,,,,
"Date","Time","Total","InUse","Free","PctUsed"
"9/5/2017","9:20:00 PM","3000","503","2497","17"
"9/5/2017","9:25:00 PM","3000","2164","836","72"
"9/5/2017","9:30:00 PM","3000","2674","326","89"
"9/5/2017","9:35:00 PM","3000","655","2345","22"
"9/5/2017","9:40:00 PM","3000","702","2298","23"
"9/5/2017","9:45:00 PM","3000","2061","939","69"
"9/5/2017","9:50:00 PM","3000","1901","1099","63"
"9/5/2017","9:55:00 PM","3000","1017","1983","34"
"9/5/2017","10:00:00 PM","3000","764","2236","25"
"9/5/2017","10:05:00 PM","3000","577","2423","19"
"9/5/2017","10:10:00 PM","3000","2311","689","77"
"9/5/2017","10:15:00 PM","3000","579","2421","19"
"9/5/2017","10:20:00 PM","3000","1789","1211","60"
"9/5/2017","10:25:00 PM","3000","1832","1168","61"
"9/5/2017","10:30:00 PM","3000","1082","1918","36"
"9/5/2017","10:35:00 PM","3000","926","2074","31"
"9/5/2017","10:40:00 PM","3000","1042","1958","35"
"9/5/2017","10:45:00 PM","3000","2496","504","83"
"9/5/2017","10:50:00 PM","3000","1878","1122","63"
"9/5/2017","10:55:00 PM","3000","2496","504","83"
"9/5/2017","11:00:00 PM","3000","1697","1303","57"
"9/5/2017","11:05:00 PM","3000","640","2360","21"
"9/5/2017","11:10:00 PM","3000","1282","1718","43"
"9/5/2017","11:15:00 PM","3000","1248","1752","42"
"9/5/2017","11:20:00 PM","3000","1096","1904","37"
"9/5/2017","11:25:00 PM","3000","969","2031","32"
"9/5/2017","11:30:00 PM","3000","983","2017","33"
"9/5/2017","11:35:00 PM","3000","1435","1565","48"
"9/5/2017","11:40:00 PM","3000","1100","1900","37"
"9/5/2017","11:45:00 PM","3000","1379","1621","46"
"9/5/2017","11:50:00 PM","3000","1092","1908","36"
"9/5/2017","11:55:00 PM","3000","2055","945","69"
"9/6/2017","12:00:00 AM","3000","896","2104","30"
"9/6/2017","12:05:00 AM","3000","1033","1967","34"
"9/6/2017","12:10:00 AM","3000","926","2074","31"
"9/6/2017","12:15:00 AM","3000","1019","1981","34"
"9/6/2017","12:20:00 AM","3000","2214","786","74"
"9/6/2017","12:25:00 AM","3000","1258","1742","42"
"9/6/2017","12:30:00 AM","3000","2077","923","69"
"9/6/2017","12:35:00 AM","3000","2356","644","79"
"9/6/2017","12:40:00 AM","3000","706","2294","24"
"9/6/2017","12:45:00 AM","3000","1509","1491","50"
"9/6/2017","12:50:00 AM","3000","888","2112","30"
"9/6/2017","12:55:00 AM","3000","1961","1039","65"
"9/6/2017","1:00:00 AM","3000","773","2227","26"
"9/6/2017","1:05:00 AM","3000","900","2100","30"
"9/6/2017","1:10:00 AM","3000","2287","713","76"
"9/6/2017","1:15:00 AM","3000","1623","1377","54"
"9/6/2017","1:20:00 AM","3000","1865","1135","62"
"9/6/2017","1:25:00 AM","3000","2271","729","76"
"9/6/2017","1:30:00 AM","3000","572","2428","19"
"9/6/2017","1:35:00 AM","3000","2146","854","72"
"9/6/2017","1:40:00 AM","3000","2046","954","68"
"9/6/2017","1:45:00 AM","3000","2061","939","69"
"9/6/2017","1:50:00 AM","3000","2524","476","84"
"9/6/2017","1:55:00 AM","3000","2044","956","68"
"9/6/2017","2:00:00 AM","3000","2138","862","71"
"9/6/2017","2:05:00 AM","3000","2174","826","72"
"9/6/2017","2:10:00 AM","3000","2374","626","79"
"9/6/2017","2:15:00 AM","3000","1761","1239","59"
"9/6/2017","2:20:00 AM","3000","2591","409","86"
"9/6/2017","2:25:00 AM","3000","2678","322","89"
"9/6/2017","2:30:00 AM","3000","1010","1990","34"
"9/6/2017","2:35:00 AM","3000","891","2109","30"
"9/6/2017","2:40:00 AM","3000","1145","1855","38"
"9/6/2017","2:45:00 AM","3000","2472","528","82"
"9/6/2017","2:50:00 AM","3000","1303","1697","43"
"9/6/2017","2:55:00 AM","3000","2012","988","67"
"9/6/2017","3:00:00 AM","3000","1983","1017","66"
"9/6/2017","3:05:00 AM","3000","1126","1874","38"
"9/6/2017","3:10:00 AM","3000","946","2054","32"
"9/6/2017","3:15:00 AM","3000","2353","647","78"
"9/6/2017","3:20:00 AM","3000","1454","1546","48"
"9/6/2017","3:25:00 AM","3000","2245","755","75"
"9/6/2017","3:30:00 AM","3000","1635","1365","55"
